"","Household Income","","","","","","","","","","","","","",""
"","Total","Less than $10,000","$10,000 to $19,999","$20,000 to $29,999","$30,000 to $39,999","$40,000 to $49,999","$50,000 to $59,999","$60,000 to $79,999","$80,000 to $99,999","$100,000 to $119,999","$120,000 to $139,999","$140,000 to $159,999","$160,000 to $179,999","$180,000 to $199,999","$200,000 or more"
"Characteristics","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate"
"  Not reported","S","S","S",".",".",".",".","S",".",".",".","S",".","S","."
"","","","","","","","","","","","","","","",""
"Water collected in basement because sump pump stopped working:","","","","","","","","","","","","","","",""
"  Yes","343","S","S","S","S","S","S","S","S","S","S","S","S","S","S"
"  No","13,428","360","494","684","630","816","849","1,545","1,221","1,131","1,017","1,053","685","608","2,336"
"  No sump pump","3,741","115","234","173","207","187","287","483","469","394","202","103","214","212","461"
"  No basement","10,584","651","589","718","718","629","683","1,337","1,141","827","751","758","356","324","1,104"
"  Not reported","S","S","S","S","S",".","S","S","S",".",".","S","S",".","S"
"","","","","","","","","","","","","","","",""
"Electric Medical Devices Present","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"Yes","14,478","1,038","1,201","1,182","1,146","928","1,007","1,689","1,581","996","910","716","448","415","1,221"
"No","117,639","7,974","7,732","8,225","8,374","8,335","8,230","14,559","11,340","8,906","7,112","6,096","4,362","3,216","13,177"
"Not reported","1,064","S","S","S","S","S","S","146","122","S","S","S","S","S","67"
"","","","","","","","","","","","","","","",""
"Generator Present","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"      1-unit buildings or multiunit buildings with 2 to 4 units","109,762","6,470","6,263","7,176","7,708","7,262","7,430","13,413","10,978","8,752","7,162","6,075","4,500","3,477","13,096"
"Yes","22,952","1,018","996","1,184","1,377","1,328","1,414","2,933","2,573","2,149","1,708","1,386","1,053","891","2,942"
"No","85,998","5,418","5,257","5,949","6,227","5,888","5,961","10,379","8,299","6,577","5,379","4,632","3,396","2,556","10,080"
"Not reported","812","S","S","S","S","S","S","S","106","S","S","S","S","S","75"
"","","","","","","","","","","","","","","",""
"Water Supply Stoppage","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"        With hot and cold piped water","132,895","9,185","8,925","9,335","9,762","9,456","9,240","16,342","13,022","10,043","8,237","6,646","4,669","3,489","14,546"
"No stoppage in last 3 months","127,339","8,773","8,470","8,881","9,287","8,957","8,782","15,616","12,556","9,692","7,920","6,383","4,536","3,408","14,079"
"With stoppage in last 3 months","4,647","315","424","388","395","419","401","581","373","284","266","214","105","67","416"
"  No stoppage lasting 6 hours or more","1,103","58","93","77","46","110","93","155","130","76","48","S","S","S","119"
"  Number of stoppages that lasted 6 hours or more:","","","","","","","","","","","","","","",""
"    1","2,060","151","200","183","176","180","165","231","139","128","122","103","56","S","193"
"    2","574","38","S","S","S","S","61","71","53","S","S","S","S","S","51"
"    3","384","S","S","S","S","S","S","72","S","S","S","S","S",".","S"
"    4 or more","502","50","48","49","74","51","S","S","S","S","S","S",".","S","27"
"  Number of stoppages not reported","S","S","S","S",".","S","S","S","S",".",".",".",".","S","S"
"Stoppage not reported","909","97","S","S","80","81","57","145","94","S","S","49","S","S","S"
"","","","","","","","","","","","","","","",""
"Water Leakage During Last 12 Months","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"No leakage from inside structure","122,016","8,550","8,157","8,565","8,942","8,658","8,503","14,995","12,094","9,182","7,628","6,052","4,321","3,148","13,222"
"With leakage from inside structure","11,215","721","853","804","843","804","754","1,382","951","869","609","594","359","343","1,329"
"  Fixtures backed up or overflowed","2,659","164","188","177","166","184","197","341","219","283","139","147","80","52","321"
"  Pipes leaked","4,864","300","376","390","477","331","335","573","413","377","242","207","159","147","537"
"  Broken water heater","1,049","95","72","96","59","82","S","132","99","83","43","64","51","S","102"
"  Other or unknown (includes not reported)","3,340","232","272","185","189","290","221","457","289","187","197","201","81","113","425"
"","","","","","","","","","","","","","","",""
"No leakage from outside structure","121,473","8,534","8,160","8,569","8,933","8,563","8,390","15,059","11,986","9,094","7,575","6,030","4,295","3,191","13,095"
"With leakage from outside structure","11,757","737","850","800","852","899","868","1,318","1,059","957","662","616","384","299","1,456"
"  Roof","5,831","469","468","394","387","478","498","601","560","426","306","267","179","129","669"
"  Basement","2,793","74","134","128","188","197","228","356","290","299","157","163","104","103","372"
"  Walls, closed windows, or doors","2,456","191","212","168","226","191","167","254","183","168","150","120","72","61","294"
"  Other or unknown (includes not reported)","1,483","56","116","150","117","99","82","181","102","114","86","74","44","S","240"
"","","","","","","","","","","","","","","",""
"External Building Conditions","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"Sagging roof","1,930","202","176","195","147","189","119","215","167","96","116","91","S","S","122"
"Missing roofing material","3,557","356","335","292","264","259","292","396","323","244","210","154","111","90","229"
"Hole in roof","1,508","198","169","169","145","149","144","107","99","98","S","48","S","S","92"
"Missing bricks, siding, or other outside wall material","2,822","263","212","218","176","254","180","377","269","190","174","139","83","35","252"
"Sloping outside walls","1,211","147","131","104","95","72","90","144","95","82","67","50","S","S","92"
"Boarded up windows","1,209","179","153","113","149","84","104","109","97","60","S","S","S","S","70"
"Broken windows","4,102","346","411","356","443","307","325","471","323","247","236","179","152","69","238"
"Bars on windows","2,406","221","246","207","215","190","193","287","222","116","105","95","83","54","171"
"Foundation crumbling or has open crack or hole","4,932","382","362","329","418","387","354","552","463","309","358","229","185","78","526"
"","","","","","","","","","","","","","","",""
"Mold","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"      Housing units with mold in last 12 months","3,908","425","408","385","378","373","282","461","317","151","123","166","71","52","316"
"Kitchen","736","114","83","89","77","64","S","102","S","S","S","S","S","S","S"
"Bathroom(s)","1,857","242","195","206","166","208","136","211","161","51","S","75","S","S","114"
"Bedroom(s)","909","118","121","97","116","84","47","107","63","S","S","S","S","S","58"
"Living room","592","77","88","62","82","S","S","75","37","S","S","S","S",".","S"
"Basement","389","S","44","S","S","S","S","45","S","S","S","S","S","S","71"
"Other room","655","58","66","S","63","61","67","S","S","S","S","S","S","S","59"
"Not reported","1,039","93","63","81","115","81","85","164","98","71","S","40","S","S","57"
"","","","","","","","","","","","","","","",""
"Sewage Disposal Breakdowns","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"With public sewer","108,231","7,895","7,282","7,610","7,881","7,714","7,410","13,193","10,512","8,001","6,725","5,509","3,730","2,813","11,957"
